Namespace(all_use=False, backbone='default', batch_interval=100, batch_size=128, checkpoint='checkpoint', checkpoint_dir='exp_record\\mnist_usps_not_all\\checkpoint', cuda=True, ensemble_alpha=0.8, eval_only=False, grl_coefficient_upper=1.0, image_size=32, lr=0.0002, max_epoch=200, mixup_beta=0.5, no_cuda=False, num_classes=10, num_k=4, one_step=True, optimizer='adam', rampup_length=10, resume_epoch=0, save_epoch_interval=20, save_model=False, seed=1, source='mnist', source_loader='mcd', supplementary_info='solver_fixed.py, inconsistency samples gradient reverse=Fale', target='usps', target_loader='mcd', use_abs_diff=False, weight_consistency=1.0, weight_consistency_upper=1.0, weight_discrepancy_upper=1.0)
Train Epoch:31 [batch_index:0/16]	Loss1:0.655852	Loss2:0.615864	Discrepancy:0.060130	Consistency weight:1.000000	Consistency loss_t1:0.033494	Consistency loss_t2:0.035206	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.058454	Resample Pool Num:26734
Train Epoch:32 [batch_index:0/16]	Loss1:0.596684	Loss2:0.610757	Discrepancy:0.060543	Consistency weight:1.000000	Consistency loss_t1:0.036767	Consistency loss_t2:0.035785	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.056345	Resample Pool Num:27175
Train Epoch:33 [batch_index:0/16]	Loss1:0.730603	Loss2:0.552254	Discrepancy:0.066027	Consistency weight:1.000000	Consistency loss_t1:0.036114	Consistency loss_t2:0.037418	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.062108	Resample Pool Num:27620
Train Epoch:34 [batch_index:0/16]	Loss1:0.626224	Loss2:0.604734	Discrepancy:0.064445	Consistency weight:1.000000	Consistency loss_t1:0.040388	Consistency loss_t2:0.045363	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.063346	Resample Pool Num:28024
Train Epoch:35 [batch_index:0/16]	Loss1:0.547084	Loss2:0.626488	Discrepancy:0.057807	Consistency weight:1.000000	Consistency loss_t1:0.042977	Consistency loss_t2:0.043824	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.055142	Resample Pool Num:28397
Train Epoch:36 [batch_index:0/16]	Loss1:0.582674	Loss2:0.533703	Discrepancy:0.059897	Consistency weight:1.000000	Consistency loss_t1:0.042505	Consistency loss_t2:0.043588	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.065993	Resample Pool Num:28775
Train Epoch:37 [batch_index:0/16]	Loss1:0.526539	Loss2:0.506676	Discrepancy:0.060861	Consistency weight:1.000000	Consistency loss_t1:0.044687	Consistency loss_t2:0.045173	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.057899	Resample Pool Num:29128
Train Epoch:38 [batch_index:0/16]	Loss1:0.527307	Loss2:0.473442	Discrepancy:0.056825	Consistency weight:1.000000	Consistency loss_t1:0.047862	Consistency loss_t2:0.045360	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.060261	Resample Pool Num:29465
Train Epoch:39 [batch_index:0/16]	Loss1:0.467137	Loss2:0.433675	Discrepancy:0.062036	Consistency weight:1.000000	Consistency loss_t1:0.048006	Consistency loss_t2:0.047492	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.065632	Resample Pool Num:29829
Train Epoch:40 [batch_index:0/16]	Loss1:0.487695	Loss2:0.483251	Discrepancy:0.058800	Consistency weight:1.000000	Consistency loss_t1:0.051275	Consistency loss_t2:0.053198	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.057965	Resample Pool Num:30132
