Namespace(all_use=False, backbone='default', batch_interval=100, batch_size=128, checkpoint='checkpoint', checkpoint_dir='exp_record\\mnist_usps_not_all\\checkpoint', cuda=True, ensemble_alpha=0.8, eval_only=False, grl_coefficient_upper=1.0, image_size=32, lr=0.0002, max_epoch=200, mixup_beta=0.5, no_cuda=False, num_classes=10, num_k=4, one_step=True, optimizer='adam', rampup_length=10, resume_epoch=0, save_epoch_interval=20, save_model=False, seed=1, source='mnist', source_loader='mcd', supplementary_info='', target='usps', target_loader='mcd', use_abs_diff=False, weight_consistency=0.1, weight_consistency_upper=1.0, weight_discrepancy_upper=1.0)
Train Epoch:31 [batch_index:0/16]	Loss1:0.676803	Loss2:0.570501	Discrepancy:0.065480	Consistency weight:1.000000	Consistency loss_t1:0.035474	Consistency loss_t2:0.031083	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.066092	Resample Pool Num:27044
Train Epoch:32 [batch_index:0/16]	Loss1:0.662597	Loss2:0.612316	Discrepancy:0.055032	Consistency weight:1.000000	Consistency loss_t1:0.036356	Consistency loss_t2:0.034769	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.063440	Resample Pool Num:27475
Train Epoch:33 [batch_index:0/16]	Loss1:0.596716	Loss2:0.519690	Discrepancy:0.059946	Consistency weight:1.000000	Consistency loss_t1:0.037223	Consistency loss_t2:0.034428	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.059000	Resample Pool Num:27905
Train Epoch:34 [batch_index:0/16]	Loss1:0.595884	Loss2:0.560600	Discrepancy:0.062637	Consistency weight:1.000000	Consistency loss_t1:0.040480	Consistency loss_t2:0.037485	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.059128	Resample Pool Num:28313
Train Epoch:35 [batch_index:0/16]	Loss1:0.600293	Loss2:0.596200	Discrepancy:0.061761	Consistency weight:1.000000	Consistency loss_t1:0.040971	Consistency loss_t2:0.041303	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.060296	Resample Pool Num:28705
Train Epoch:36 [batch_index:0/16]	Loss1:0.531810	Loss2:0.473205	Discrepancy:0.062644	Consistency weight:1.000000	Consistency loss_t1:0.041539	Consistency loss_t2:0.041150	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.059667	Resample Pool Num:29098
Train Epoch:37 [batch_index:0/16]	Loss1:0.526910	Loss2:0.491603	Discrepancy:0.057892	Consistency weight:1.000000	Consistency loss_t1:0.043272	Consistency loss_t2:0.041834	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.060819	Resample Pool Num:29497
Train Epoch:38 [batch_index:0/16]	Loss1:0.521501	Loss2:0.491756	Discrepancy:0.061337	Consistency weight:1.000000	Consistency loss_t1:0.048215	Consistency loss_t2:0.044116	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.061643	Resample Pool Num:29866
Train Epoch:39 [batch_index:0/16]	Loss1:0.461224	Loss2:0.459538	Discrepancy:0.064423	Consistency weight:1.000000	Consistency loss_t1:0.048715	Consistency loss_t2:0.044864	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.060478	Resample Pool Num:30243
Train Epoch:40 [batch_index:0/16]	Loss1:0.455212	Loss2:0.501371	Discrepancy:0.063186	Consistency weight:1.000000	Consistency loss_t1:0.046429	Consistency loss_t2:0.047696	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.053134	Resample Pool Num:30627
Train Epoch:41 [batch_index:0/16]	Loss1:0.430779	Loss2:0.398946	Discrepancy:0.060438	Consistency weight:1.000000	Consistency loss_t1:0.048785	Consistency loss_t2:0.050706	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.059667	Resample Pool Num:30999
Train Epoch:42 [batch_index:0/16]	Loss1:0.403427	Loss2:0.401388	Discrepancy:0.058162	Consistency weight:1.000000	Consistency loss_t1:0.053598	Consistency loss_t2:0.049415	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.053947	Resample Pool Num:31351
Train Epoch:43 [batch_index:0/16]	Loss1:0.375543	Loss2:0.321020	Discrepancy:0.057564	Consistency weight:1.000000	Consistency loss_t1:0.054190	Consistency loss_t2:0.052945	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.060724	Resample Pool Num:31680
Train Epoch:44 [batch_index:0/16]	Loss1:0.371856	Loss2:0.304582	Discrepancy:0.065219	Consistency weight:1.000000	Consistency loss_t1:0.054172	Consistency loss_t2:0.051568	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.062775	Resample Pool Num:32024
Train Epoch:45 [batch_index:0/16]	Loss1:0.406762	Loss2:0.364840	Discrepancy:0.058745	Consistency weight:1.000000	Consistency loss_t1:0.055363	Consistency loss_t2:0.053555	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.055084	Resample Pool Num:32375
Train Epoch:46 [batch_index:0/16]	Loss1:0.421802	Loss2:0.376957	Discrepancy:0.058624	Consistency weight:1.000000	Consistency loss_t1:0.053933	Consistency loss_t2:0.050252	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.054126	Resample Pool Num:32731
Train Epoch:47 [batch_index:0/16]	Loss1:0.319461	Loss2:0.303031	Discrepancy:0.050938	Consistency weight:1.000000	Consistency loss_t1:0.056492	Consistency loss_t2:0.058458	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.056475	Resample Pool Num:33039
Train Epoch:48 [batch_index:0/16]	Loss1:0.305137	Loss2:0.281839	Discrepancy:0.055485	Consistency weight:1.000000	Consistency loss_t1:0.053368	Consistency loss_t2:0.054818	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.054249	Resample Pool Num:33375
Train Epoch:49 [batch_index:0/16]	Loss1:0.359967	Loss2:0.312175	Discrepancy:0.059225	Consistency weight:1.000000	Consistency loss_t1:0.056061	Consistency loss_t2:0.054989	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.053365	Resample Pool Num:33717
Train Epoch:50 [batch_index:0/16]	Loss1:0.339510	Loss2:0.333013	Discrepancy:0.053117	Consistency weight:1.000000	Consistency loss_t1:0.062473	Consistency loss_t2:0.061727	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.053379	Resample Pool Num:34043
Train Epoch:51 [batch_index:0/16]	Loss1:0.313485	Loss2:0.290717	Discrepancy:0.050177	Consistency weight:1.000000	Consistency loss_t1:0.062997	Consistency loss_t2:0.062904	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.052302	Resample Pool Num:34366
Train Epoch:52 [batch_index:0/16]	Loss1:0.316384	Loss2:0.304240	Discrepancy:0.055581	Consistency weight:1.000000	Consistency loss_t1:0.059921	Consistency loss_t2:0.061063	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.060488	Resample Pool Num:34684
Train Epoch:53 [batch_index:0/16]	Loss1:0.281057	Loss2:0.238886	Discrepancy:0.050900	Consistency weight:1.000000	Consistency loss_t1:0.064398	Consistency loss_t2:0.069306	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.049242	Resample Pool Num:34986
Train Epoch:54 [batch_index:0/16]	Loss1:0.275274	Loss2:0.311513	Discrepancy:0.050972	Consistency weight:1.000000	Consistency loss_t1:0.061283	Consistency loss_t2:0.064913	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.055097	Resample Pool Num:35278
Train Epoch:55 [batch_index:0/16]	Loss1:0.308194	Loss2:0.298033	Discrepancy:0.058246	Consistency weight:1.000000	Consistency loss_t1:0.063636	Consistency loss_t2:0.060109	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.049555	Resample Pool Num:35594
Train Epoch:56 [batch_index:0/16]	Loss1:0.267163	Loss2:0.237826	Discrepancy:0.053062	Consistency weight:1.000000	Consistency loss_t1:0.063966	Consistency loss_t2:0.065424	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.051844	Resample Pool Num:35897
Train Epoch:57 [batch_index:0/16]	Loss1:0.226672	Loss2:0.201668	Discrepancy:0.046734	Consistency weight:1.000000	Consistency loss_t1:0.062218	Consistency loss_t2:0.065476	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.055689	Resample Pool Num:36208
Train Epoch:58 [batch_index:0/16]	Loss1:0.197391	Loss2:0.210670	Discrepancy:0.049730	Consistency weight:1.000000	Consistency loss_t1:0.066538	Consistency loss_t2:0.065207	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.050891	Resample Pool Num:36507
Train Epoch:59 [batch_index:0/16]	Loss1:0.236600	Loss2:0.236003	Discrepancy:0.049569	Consistency weight:1.000000	Consistency loss_t1:0.063035	Consistency loss_t2:0.066461	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.051259	Resample Pool Num:36826
Train Epoch:60 [batch_index:0/16]	Loss1:0.212202	Loss2:0.232595	Discrepancy:0.051479	Consistency weight:1.000000	Consistency loss_t1:0.068724	Consistency loss_t2:0.070239	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.050080	Resample Pool Num:37132
Train Epoch:61 [batch_index:0/16]	Loss1:0.222445	Loss2:0.241432	Discrepancy:0.050018	Consistency weight:1.000000	Consistency loss_t1:0.070139	Consistency loss_t2:0.071809	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.050848	Resample Pool Num:37453
Train Epoch:62 [batch_index:0/16]	Loss1:0.246479	Loss2:0.191892	Discrepancy:0.046361	Consistency weight:1.000000	Consistency loss_t1:0.072624	Consistency loss_t2:0.074380	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.046677	Resample Pool Num:37754
Train Epoch:63 [batch_index:0/16]	Loss1:0.230914	Loss2:0.208771	Discrepancy:0.048240	Consistency weight:1.000000	Consistency loss_t1:0.067946	Consistency loss_t2:0.070278	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.050027	Resample Pool Num:38068
Train Epoch:64 [batch_index:0/16]	Loss1:0.202072	Loss2:0.168090	Discrepancy:0.052608	Consistency weight:1.000000	Consistency loss_t1:0.074165	Consistency loss_t2:0.065840	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.048568	Resample Pool Num:38348
Train Epoch:65 [batch_index:0/16]	Loss1:0.206158	Loss2:0.184026	Discrepancy:0.051209	Consistency weight:1.000000	Consistency loss_t1:0.070759	Consistency loss_t2:0.072070	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.048944	Resample Pool Num:38656
Train Epoch:66 [batch_index:0/16]	Loss1:0.195999	Loss2:0.152698	Discrepancy:0.053008	Consistency weight:1.000000	Consistency loss_t1:0.073378	Consistency loss_t2:0.073246	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.046077	Resample Pool Num:38942
Train Epoch:67 [batch_index:0/16]	Loss1:0.184592	Loss2:0.178159	Discrepancy:0.048389	Consistency weight:1.000000	Consistency loss_t1:0.077155	Consistency loss_t2:0.068511	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.041672	Resample Pool Num:39229
Train Epoch:68 [batch_index:0/16]	Loss1:0.201645	Loss2:0.158117	Discrepancy:0.045518	Consistency weight:1.000000	Consistency loss_t1:0.074148	Consistency loss_t2:0.075685	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.042900	Resample Pool Num:39527
Train Epoch:69 [batch_index:0/16]	Loss1:0.177702	Loss2:0.152375	Discrepancy:0.055694	Consistency weight:1.000000	Consistency loss_t1:0.071975	Consistency loss_t2:0.073256	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.054014	Resample Pool Num:39836
Train Epoch:70 [batch_index:0/16]	Loss1:0.174746	Loss2:0.173016	Discrepancy:0.047050	Consistency weight:1.000000	Consistency loss_t1:0.075276	Consistency loss_t2:0.070849	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.043376	Resample Pool Num:40119
Train Epoch:71 [batch_index:0/16]	Loss1:0.226706	Loss2:0.152004	Discrepancy:0.047395	Consistency weight:1.000000	Consistency loss_t1:0.071046	Consistency loss_t2:0.076709	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.049242	Resample Pool Num:40400
Train Epoch:72 [batch_index:0/16]	Loss1:0.196692	Loss2:0.156975	Discrepancy:0.046403	Consistency weight:1.000000	Consistency loss_t1:0.073979	Consistency loss_t2:0.079342	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.045450	Resample Pool Num:40680
Train Epoch:73 [batch_index:0/16]	Loss1:0.159889	Loss2:0.137250	Discrepancy:0.052225	Consistency weight:1.000000	Consistency loss_t1:0.077720	Consistency loss_t2:0.076356	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.047338	Resample Pool Num:40949
Train Epoch:74 [batch_index:0/16]	Loss1:0.151399	Loss2:0.133686	Discrepancy:0.056863	Consistency weight:1.000000	Consistency loss_t1:0.074795	Consistency loss_t2:0.071998	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.048683	Resample Pool Num:41235
Train Epoch:75 [batch_index:0/16]	Loss1:0.122424	Loss2:0.144158	Discrepancy:0.050097	Consistency weight:1.000000	Consistency loss_t1:0.074403	Consistency loss_t2:0.071846	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.041711	Resample Pool Num:41524
Train Epoch:76 [batch_index:0/16]	Loss1:0.111054	Loss2:0.108411	Discrepancy:0.042622	Consistency weight:1.000000	Consistency loss_t1:0.077265	Consistency loss_t2:0.080606	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.049335	Resample Pool Num:41813
Train Epoch:77 [batch_index:0/16]	Loss1:0.136642	Loss2:0.160987	Discrepancy:0.044033	Consistency weight:1.000000	Consistency loss_t1:0.078557	Consistency loss_t2:0.078858	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.039638	Resample Pool Num:42084
Train Epoch:78 [batch_index:0/16]	Loss1:0.154408	Loss2:0.120167	Discrepancy:0.044097	Consistency weight:1.000000	Consistency loss_t1:0.076878	Consistency loss_t2:0.078911	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.047503	Resample Pool Num:42357
Train Epoch:79 [batch_index:0/16]	Loss1:0.121872	Loss2:0.126827	Discrepancy:0.043705	Consistency weight:1.000000	Consistency loss_t1:0.078378	Consistency loss_t2:0.077321	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.037531	Resample Pool Num:42678
Train Epoch:80 [batch_index:0/16]	Loss1:0.112601	Loss2:0.138978	Discrepancy:0.038608	Consistency weight:1.000000	Consistency loss_t1:0.082015	Consistency loss_t2:0.085001	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.040568	Resample Pool Num:42964
Train Epoch:81 [batch_index:0/16]	Loss1:0.158037	Loss2:0.130978	Discrepancy:0.042417	Consistency weight:1.000000	Consistency loss_t1:0.081079	Consistency loss_t2:0.085951	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.044461	Resample Pool Num:43235
Train Epoch:82 [batch_index:0/16]	Loss1:0.169857	Loss2:0.126798	Discrepancy:0.043632	Consistency weight:1.000000	Consistency loss_t1:0.076458	Consistency loss_t2:0.080827	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.043022	Resample Pool Num:43508
Train Epoch:83 [batch_index:0/16]	Loss1:0.134112	Loss2:0.114005	Discrepancy:0.041933	Consistency weight:1.000000	Consistency loss_t1:0.076775	Consistency loss_t2:0.082108	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.041607	Resample Pool Num:43811
Train Epoch:84 [batch_index:0/16]	Loss1:0.091795	Loss2:0.106483	Discrepancy:0.043766	Consistency weight:1.000000	Consistency loss_t1:0.084290	Consistency loss_t2:0.083613	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.042896	Resample Pool Num:44099
Train Epoch:85 [batch_index:0/16]	Loss1:0.141839	Loss2:0.113065	Discrepancy:0.039284	Consistency weight:1.000000	Consistency loss_t1:0.085423	Consistency loss_t2:0.081858	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.045167	Resample Pool Num:44397
Train Epoch:86 [batch_index:0/16]	Loss1:0.109436	Loss2:0.116302	Discrepancy:0.049225	Consistency weight:1.000000	Consistency loss_t1:0.080521	Consistency loss_t2:0.080970	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.035696	Resample Pool Num:44661
